item_id,name
40680,Smashed Flower Pot
13792,Replica Allagan Battleaxe
22918,Black Willow Armillae of Crafting
10614,Birch Longbow
15831,Faded Copy of Against the Wind
28979,Lord Commander Portrait
24493,Tier 4 Metal Aquarium
20433,Dead Hive Rapier
29406,Neo-Ishgardian Labrys
9186,Brass Daggers
7078,Tonberry Couch
3241,Militia Cuirass
17646,Six Fulms Under Orchestrion Roll
20349,Yuzuka Manor Painting
31815,Exarchic Axe
43287,Snow Cotton Trousers
13652,Sky Pirate's Mask of Striking
13024,Hammermaster's Waist Apron
4996,Southern Pike
24892,Garden Skipper
38894,Indagator's Knife
36842,Varsity Skirt
26014,Atrociraptorskin Necklace of Slaying
2340,Weathered Cross-pein Hammer
33939,Craftsman's Cunning Materia X
7090,Carbuncle Chair
12629,Dhalmel Saliva
42458,Ra'Kaznar Rod
21280,Crimson Sunrise Orchestrion Roll
4465,Mythril Ring
27974,Steer Hide
40413,Chocobo Pajama Shirt
40640,Rustic Log Table
7601,Emery
38634,Scream Orchestrion Roll
6471,Flame Ceiling Fan & Lamp
10619,Titanium Kris
12588,Rainbow Cloth
13637,Max-Potion
35068,Classical Medicus's Loincloth
13901,Replica Dreadwyrm Greaves of Maiming
41837,Mountain Chromite Fists
12851,Liver-cheese Sandwich
42518,Black Star Choker of Casting
7118,Riviera Striking Dummy
13656,Sky Pirate's Boots of Striking
11951,Mythrite Scythe
37818,Paldao Log
36554,Red Gurnard
27852,Ovim Meat
32824,Queen's Guard Barding
7931,Magic Carpet
8158,Doman Plum
3311,Hempen Sarouel
5451,Weevil Elytron
20146,Glass Manta
41404,Chlorophos Deathworm
12096,Oasis Half Partition
27481,Toadhead
30897,Forgotten Fragment of Becoming
44874,Holodisplay
27681,Felt Breeches
27415,Sinspitter
6208,Slime Puddle
5123,Flint Stone
5438,Buffalo Horn
31687,Faded Copy of To the Edge
6673,Riviera Rug
5557,Jellyfish Umbrella
26322,Dwarven Cotton Petasos of Casting
34597,Blue Zircon Bracelet of Aiming
7777,Jute Yarn
12749,Vanuhead
43789,Iris Wrasse
5374,Mahogany Lumber
26745,Timeworn Zonureskin Map
26169,Triplite Earrings of Slaying
12619,Grade 2 Vitality Dissolvent
3259,Gryphonskin Tunic
2911,Militia Barbut
44052,Acacia Bark
26013,Atrociraptorskin Necklace of Fending
33193,Resplendent Culinarian's Material A
6562,Oasis Cupboard
37087,Forum Painting
40681,Well Pump
34141,Ametrine Choker of Slaying
38646,The Sands' Secrets Orchestrion Roll
32085,Oracular Crab
7495,Cashmere Skirt of Striking
14049,Pudding Throw Rug
17640,Unbending Steel Orchestrion Roll
18260,Koppranickel Bracelet of Healing
3910,Buccaneer's Boots
3235,Alchemist's Coat
2460,Elm Spinning Wheel
19833,Crab Croquette
29988,Rainbow Hyacinth Corsage
20203,River Clam
36699,Pactmaker's File
44164,Grade 2 Gemdraught of Vitality
29765,Roguesaurus
16723,Noble Sage
17015,Scathach Miniature
23065,The Winter Queen
5639,Ice Materia I
43687,Morsel Trout
7008,Granite
10588,Titanium Bastard Sword
36039,Amra Lassi
17652,Faded Copy of Limitless Blue
18964,Imperial Jade Ring of Fending
37358,Sweetfish Skewers
32082,Sunken Mask
43700,Crenicichla
27672,Toadskin Boots
2683,Plundered Goggles
37748,Rinascita Greatsword
12007,Wyvernskin Workboots
30119,Vanilla Yellow Dye
39706,Softsilver Ore
